pID,category_id
1,22
1,28
1,30
2,1
2,10
2,30
3,19
3,21
3,23
4,5
4,30
4,30
5,13
5,14
5,28
6,2
6,3
6,
7,4
7,11
7,
8,10
8,
8,
9,11
9,28
9,
10,15
10,
10,
11,9
11,25
11,
12,22
12,
12,
13,15
13,
13,
14,17
14,24
14,
15,25
15,
15,
16,17
16,
16,
17,6
17,8
17,
18,25
18,
18,
19,5
19,9
19,
20,18
20,
20,
21,19
21,
21,
22,20
22,23
22,
23,20
23,29
23,
24,14
24,16
24,28
25,12
25,29
25,
26,5
26,8
26,
27,10
27,
27,
28,14
28,21
28,
29,16
29,
29,
30,5
30,8
30,
31,15
31,21
31,
32,5
32,
32,
33,14
33,29
33,
34,14
34,28
34,
35,16
35,
35,
36,6
36,9
36,16
37,12
37,18
37,19
38,9
38,
38,
39,28
39,
39,
40,3
40,13
40,
41,13
41,24
41,
42,23
42,24
42,
43,17
43,
43,
44,5
44,
44,
45,13
45,
45,
46,2
46,3
46,25
47,7
47,14
47,
48,1
48,17
48,20
49,2
49,5
49,
50,5
50,13
50,19
51,8
51,
51,
52,4
52,16
52,21
53,8
53,
53,
54,7
54,28
54,
55,1
55,16
55,
56,13
56,15
56,25
57,22
57,
57,
58,26
58,
58,
59,17
59,28
59,
60,12
60,
60,
61,13
61,27
61,
62,1
62,26
62,27
63,2
63,4
63,19
64,10
64,19
64,21
65,11
65,27
65,
66,3
66,
66,
67,11
67,15
67,
68,7
68,8
68,9
69,1
69,
69,
70,19
70,27
70,
71,10
71,
71,
72,25
72,
72,
73,9
73,10
73,27
74,10
74,
74,
75,4
75,6
75,12
76,1
76,
76,
77,18
77,20
77,
78,22
78,
78,
79,2
79,11
79,19
80,17
80,27
80,
81,16
81,
81,
82,18
82,19
82,
83,18
83,
83,
84,4
84,
84,
85,19
85,26
85,
86,9
86,25
86,
87,9
87,
87,
88,3
88,
88,
89,7
89,11
89,20
90,11
90,
90,
91,3
91,15
91,17
92,23
92,24
92,
93,7
93,13
93,27
94,9
94,18
94,23
95,14
95,27
95,
96,12
96,20
96,
97,11
97,17
97,19
98,12
98,
98,
99,3
99,7
99,24
100,16
100,27
100,28
101,23
101,27
101,
102,6
102,26
102,
103,12
103,17
103,
104,8
104,
104,
105,2
105,3
105,4
106,6
106,17
106,18
107,18
107,
107,
108,12
108,
108,
109,12
109,24
109,
110,9
110,13
110,26
111,12
111,
111,
112,8
112,11
112,27
113,21
113,
113,
114,5
114,9
114,13
115,12
115,
115,
116,8
116,
116,
117,7
117,23
117,26
118,8
118,20
118,
119,24
119,28
119,
120,13
120,18
120,27
121,29
121,
121,
122,8
122,11
122,
123,6
123,16
123,26
124,1
124,8
124,14
125,1
125,29
125,
126,27
126,29
126,
127,5
127,29
127,
128,13
128,17
128,25
129,29
129,
129,
130,3
130,
130,
131,10
131,11
131,21
132,1
132,
132,
133,17
133,23
133,
134,12
134,
134,
135,11
135,
135,
136,3
136,27
136,
137,8
137,10
137,12
138,4
138,22
138,23
139,1
139,24
139,
140,10
140,16
140,
141,4
141,5
141,
142,12
142,15
142,25
143,13
143,24
143,
144,28
144,
144,
145,17
145,
145,
146,23
146,24
146,25
147,3
147,4
147,
148,2
148,3
148,10
149,5
149,8
149,14
150,2
150,16
150,26
151,2
151,7
151,16
152,14
152,
152,
153,2
153,8
153,24
154,21
154,4
154,19
155,3
155,7
155,
156,11
156,16
156,22
157,22
157,29
157,
158,16
158,22
158,
159,4
159,23
159,
160,18
160,27
160,
161,7
161,17
161,
162,12
162,
162,
163,16
163,
163,
164,17
164,28
164,
165,3
165,19
165,25
166,19
166,
166,
167,22
167,28
167,
168,19
168,
168,
169,7
169,13
169,26
170,3
170,14
170,16
171,9
171,
171,
172,5
172,7
172,14
173,27
173,
173,
174,20
174,22
174,23
175,13
175,27
175,
176,12
176,19
176,
177,22
177,
177,
178,3
178,7
178,29
179,12
179,18
179,26
180,19
180,26
180,29
181,4
181,8
181,
182,9
182,13
182,26
183,21
183,
183,
184,7
184,
184,
185,9
185,28
185,
186,4
186,7
186,21
187,5
187,13
187,
188,11
188,13
188,28
189,8
189,9
189,
190,9
190,
190,
191,13
191,14
191,21
192,23
192,
192,
193,15
193,24
193,
194,15
194,
194,
195,22
195,
195,
196,21
196,24
196,
197,1
197,2
197,17
198,24
198,
198,
199,20
199,
199,
200,23
200,27
200,28
201,26
201,29
201,
202,1
202,15
202,25
203,23
203,26
203,27
204,10
204,18
204,27
205,6
205,10
205,20
206,9
206,18
206,22
207,15
207,
207,
208,19
208,25
208,29
209,19
209,22
209,
210,15
210,
210,
211,6
211,25
211,29
212,14
212,25
212,26
213,13
213,17
213,
214,4
214,14
214,18
215,20
215,22
215,25
216,10
216,18
216,
217,15
217,
217,
218,11
218,
218,
219,18
219,27
219,28
220,10
220,18
220,23
221,5
221,11
221,
222,9
222,12
222,16
223,10
223,28
223,
224,3
224,4
224,
225,10
225,16
225,24
226,6
226,20
226,21
227,7
227,26
227,
228,2
228,17
228,28
229,2
229,3
229,18
230,5
230,
230,
231,14
231,26
231,
232,12
232,18
232,22
233,5
233,16
233,25
234,3
234,10
234,12
235,20
235,
235,
236,5
236,23
236,24
237,5
237,15
237,19
238,6
238,
238,
239,11
239,20
239,
240,18
240,27
240,
241,6
241,20
241,22
242,17
242,18
242,
243,15
243,
243,
244,9
244,10
244,
245,5
245,17
245,
246,19
246,
246,
247,12
247,25
247,
248,12
248,15
248,20
249,5
249,28
249,
250,9
250,26
250,
251,11
251,
251,
252,4
252,15
252,28
253,10
253,
253,
254,4
254,
254,
255,7
255,13
255,
256,1
256,12
256,16
257,6
257,
257,
258,11
258,14
258,
259,19
259,
259,
260,2
260,3
260,24
261,24
261,
261,
262,12
262,
262,
263,16
263,
263,
264,5
264,26
264,
265,24
265,26
265,
266,9
266,11
266,17
267,15
267,16
267,
268,6
268,8
268,16
269,4
269,20
269,
270,7
270,28
270,29
271,1
271,7
271,17
272,6
272,12
272,20
273,9
273,14
273,
274,21
274,29
274,
275,2
275,
275,
276,9
276,
276,
277,24
277,28
277,
278,18
278,20
278,
279,10
279,
279,
280,1
280,2
280,
281,26
281,
281,
282,3
282,7
282,16
283,4
283,
283,
284,8
284,11
284,
285,1
285,4
285,10
286,6
286,23
286,24
287,11
287,14
287,15
288,7
288,29
288,
289,6
289,20
289,
290,10
290,27
290,
291,5
291,19
291,
292,2
292,3
292,
293,4
293,
293,
294,7
294,21
294,
295,6
295,10
295,25
296,7
296,8
296,
297,24
297,28
297,
298,1
298,6
298,28
299,7
299,
299,
300,10
300,29
300,
301,15
301,
301,
302,19
302,26
302,
303,6
303,
303,
304,10
304,24
304,29
305,8
305,15
305,25
306,6
306,27
306,
307,22
307,
307,
308,5
308,6
308,16
309,29
309,
309,
310,3
310,
310,
311,2
311,22
311,
312,6
312,18
312,
313,16
313,
313,
314,14
314,18
314,
315,24
315,25
315,
316,1
316,2
316,18
317,1
317,
317,
318,1
318,14
318,28
319,12
319,
319,
320,12
320,16
320,
321,25
321,
321,
322,6
322,15
322,
323,19
323,
323,
324,2
324,
324,
325,24
325,
325,
326,13
326,
326,
327,1
327,15
327,17
328,3
328,18
328,23
329,1
329,13
329,
330,1
330,23
330,
331,11
331,24
331,
332,13
332,26
332,
333,4
333,6
333,9
334,2
334,26
334,27
335,8
335,11
335,
336,23
336,
336,
337,1
337,13
337,
338,16
338,
338,
339,1
339,3
339,
340,4
340,
340,
341,1
341,22
341,28
342,17
342,19
342,29
343,1
343,2
343,
344,8
344,14
344,
345,22
345,
345,
346,22
346,
346,
347,16
347,
347,
348,12
348,15
348,29
349,9
349,
349,
350,9
350,16
350,26
351,24
351,26
351,
352,8
352,18
352,23
353,16
353,17
353,
354,1
354,2
354,
355,5
355,
355,
356,14
356,15
356,22
357,10
357,20
357,22
358,4
358,5
358,25
359,6
359,7
359,26
360,12
360,26
360,
361,2
361,16
