discountPriceID,discount_price,discount_date
1,125.43,2002-09-23
2,164.55,2005-01-02
3,239.68,2000-04-09
4,208.72,2007-03-23
5,183.21,2009-10-05
6,123.8,2010-02-09
7,225.27,2001-12-05
8,296.41,2010-03-12
9,178.23,2000-05-24
10,178.23,2000-09-05
11,178.23,2002-10-20
12,178.23,2006-02-02
13,173.12,2012-01-20
14,131.02,2003-11-03
15,163.95,2005-06-30
16,146.45,2001-03-16
17,169.85,2003-04-15
18,140.76,2004-08-15
19,161.85,2006-06-16
20,117.84,2012-05-31
21,214.44,2001-01-29
22,6.1,2001-04-02
23,7.9,2001-08-14
24,6.73,2004-01-27
25,9.57,2006-07-14
26,109.22,2001-06-11
27,109.22,2005-10-10
28,109.22,2007-03-25
29,109.22,2010-09-19
30,109.22,2011-08-17
31,150.76,2004-07-29
32,116.97,2006-02-22
33,93.93,2001-04-20
34,68.57,2001-09-15
35,325.43,2001-08-12
36,269.73,2002-06-06
37,333.12,2007-02-14
38,306.66,2002-10-18
39,350.16,2004-03-31
40,418.52,2000-03-12
41,385.74,2000-11-10
42,418.52,2004-09-11
43,414.42,2001-05-09
44,414.42,2002-06-03
45,414.42,2006-02-03
46,414.42,2009-01-24
47,414.42,2011-05-02
48,95.94,2000-08-17
49,106.09,2002-10-10
50,110.77,2003-11-19
51,103.69,2005-09-28
52,119.55,2009-10-29
53,242.09,2001-02-15
54,238.21,2004-12-16
55,179.12,2000-05-31
56,202.24,2001-01-11
57,155.99,2001-03-12
58,156.48,2000-06-25
59,218.83,2001-04-29
60,149.2,2002-02-21
61,391.47,2001-05-22
62,193.09,2003-01-12
63,151.1,2002-12-25
64,238.02,2005-07-11
65,188.92,2011-01-31
66,199.04,2003-02-15
67,199.04,2010-11-20
68,199.04,2011-05-26
69,46.97,2003-06-27
70,40.06,2007-06-29
71,51.35,2007-12-20
72,187.28,2003-04-28
73,192.9,2003-08-10
74,126.69,2004-11-26
75,153.75,2009-02-11
76,99.36,2000-10-21
77,61.48,2002-04-03
78,87.17,2003-01-25
79,467.78,2000-05-21
80,239.61,2004-06-20
81,55.81,2003-01-03
82,43.71,2003-04-30
83,54.35,2003-05-02
84,32,2000-09-15
85,30.76,2004-10-06
86,33.61,2008-01-12
87,37.87,2010-01-20
88,36.96,2011-06-06
89,258.46,2000-02-17
90,245.84,2002-11-06
91,253.57,2004-04-01
92,242.28,2006-05-15
93,250.43,2012-02-27
94,227.52,2002-10-24
95,223.93,2002-11-19
96,261.9,2007-02-09
97,124.2,2001-12-20
98,126.19,2003-03-22
99,126.19,2006-06-19
100,126.19,2008-06-23
101,117.8,2009-05-09
102,115.17,2000-05-26
103,77.7,2002-07-25
104,73.68,2004-08-23
105,83.04,2004-10-18
106,49.95,2001-05-27
107,60.4,2002-12-24
108,56.82,2003-08-06
109,56.98,2007-07-25
110,317.54,2000-07-22
111,336.5,2007-07-10
112,107.32,2002-06-13
113,105.12,2004-08-04
114,85.11,2004-09-04
115,102.08,2006-04-26
116,14.63,2001-01-24
117,19.89,2002-01-06
118,13.87,2006-10-15
119,21.69,2008-06-26
120,7.28,2010-05-31
121,438.21,2005-03-31
122,438.21,2007-09-24
123,208.94,2004-08-24
124,308.18,2006-08-09
125,65.71,2002-11-07
126,94.76,2009-06-02
127,91.99,2011-02-28
128,161.53,2005-05-18
129,94.39,2000-12-22
130,94.39,2004-10-30
131,83.73,2007-04-23
132,180.18,2001-10-02
133,168.62,2006-04-05
134,94.79,2010-08-28
135,195.02,2004-05-30
136,302.69,2002-08-30
137,302.69,2007-11-06
138,430.23,2001-06-19
139,395.91,2003-07-02
140,382.29,2004-07-08
141,417.13,2006-02-22
142,206.56,2004-08-05
143,206.56,2004-08-23
144,206.56,2005-05-11
145,82.35,2000-01-15
146,60.88,2002-03-13
147,51.68,2002-10-28
148,70.11,2003-08-16
149,68.61,2007-05-17
150,191.61,2001-06-16
151,218.57,2009-12-25
152,53.93,2003-08-29
153,48.3,2004-01-17
154,51.19,2007-03-20
155,47.24,2009-11-06
156,253.13,2005-06-09
157,155.67,2007-02-20
158,288.36,2008-05-22
159,261.99,2011-07-30
160,153.01,2011-12-29
161,299.16,2002-08-29
162,299.16,2005-02-06
163,127.61,2004-02-06
164,256.65,2007-03-29
165,197.63,2012-03-15
166,125.38,2001-08-21
167,95.01,2003-12-27
168,65.41,2010-10-13
169,195.5,2002-02-13
170,127.31,2003-03-02
171,88.38,2002-01-03
172,91.79,2004-01-12
173,62.8,2008-04-12
174,84.2,2011-11-30
175,88.67,2001-02-11
176,190.87,2002-09-19
177,37.31,2002-03-09
178,27.95,2002-09-26
179,260.52,2002-06-14
180,260.52,2005-03-28
181,95.62,2005-03-19
182,135.42,2006-03-26
183,76.93,2007-06-21
184,4.91,2001-03-08
185,5.77,2002-08-09
